"Cities","lon","lat"
"Dearborn, MI",-83.1763145,42.3222599
"Wilmette, IL",-87.7228384,42.0722513
"Rock Spring, GA",-85.2406088,34.8242089
"Doraville, GA",-84.2832564,33.8981579
"Little Falls, MN",-94.3694444,45.9805556
"Ellaville, GA",-84.3090798,32.2382139
"Shelbyville, IN",-85.7769238,39.5214373
"Hoffman Estates, IL",-88.1227199,42.0629915
"Knoxville, TN",-83.9207392,35.9606384
"Forest Lake, MN",-92.9852183,45.2788561
"Franklin, TN",-86.8688899,35.9250637
"Jacksonville, FL",-81.655651,30.3321838
"Boothwyn, PA",-75.4415843,39.8301125
"Stockbridge, GA",-84.2338093,33.5442781
"Belleview, FL",-82.0623105,29.0552578
"Lacombe, LA",-89.9431264,30.3135288
"Johnston, IA",-93.7130493,41.6709834
"Rockmart, GA",-85.0416133,34.0026005
"Saint George, UT",-113.5684164,37.0965278
"Omaha, NE",-95.9345034,41.2565369
"Des Plaines, IL",-87.8833991,42.0333623
"Greenwood Village, CO",-104.9508141,39.6172101
"Jonesboro, GA",-84.3538128,33.5215013
"Decatur, GA",-84.2963123,33.7748275
"Clearwater, FL",-82.8001026,27.9658533
"Aledo, IL",-90.7493063,41.1997568
"Cranford, NJ",-74.2995928,40.6584212
"Gray, GA",-83.5337816,33.0095802
"Ellington, MO",-90.9687356,37.2417147
"Wyoming, MN",-92.9631295,45.3080154
"Plano, TX",-96.6988856,33.0198431
"Nevada City, CA",-121.0160594,39.2615606
"Norfolk, VA",-76.2858726,36.8507689
"Milton, FL",-87.0396881,30.6324149
"Cumming, GA",-84.1401926,34.2073196
"Geneva, IL",-88.3053525,41.8875281
"Statesboro, GA",-81.7831674,32.4487876
"Palm Beach, FL",-80.0364297,26.7056206
"Huntingdon Valley, PA",-75.0727956,40.1379904
"Olathe, KS",-94.8191285,38.8813958
"Colfax, WA",-117.3643495,46.8801654
"Shorewood, IL",-88.2017293,41.5200305
"Evansville, IN",-87.5710898,37.9715592
"Columbia, SC",-81.0348144,34.0007104
"Richmond, VA",-77.4360481,37.5407246
"Greeley, CO",-104.7091322,40.4233142
"Sarasota, FL",-82.5306527,27.3364347
"Apollo Beach, FL",-82.4075935,27.7730836
"Prescott, AZ",-112.4685025,34.5400242
"Port St. Lucie, FL",-80.3582261,27.2730492
"Windsor, CO",-104.9013617,40.4774818
"Castle Rock, CO",-104.8560902,39.3722121
"Clayton, GA",-83.4009933,34.8781479
"Tampa, FL",-82.4571776,27.950575
"Jackson, GA",-83.9660209,33.2945651
"Snohomish, WA",-122.0981847,47.9128756
"Burlington, WA",-122.3254374,48.4756621
"Franklin, GA",-85.0979973,33.2776182
"Macon, GA",-83.6324022,32.8406946
"Cocoa Beach, FL",-80.6075513,28.3200067
"Mount Clemens, MI",-82.8779754,42.5972563
"Dallas, GA",-84.8413056,33.9244531
"Brooksville, FL",-82.3878709,28.5552719
"Winter Park, FL",-81.3392352,28.5999998
"Carthage, MS",-89.5361825,32.7326356
"Rosemount, MN",-93.1257723,44.7394103
"Birmingham, AL",-86.80249,33.5206608
"East Ellijay, GA",-84.4727049,34.6839746
"Cartersville, GA",-84.7999382,34.1650972
"Las Vegas, NV",-115.1398296,36.1699412
"Western Springs, IL",-87.9006155,41.8097532
"Wood Dale, IL",-87.9789562,41.9633625
"Davis, OK",-97.1194637,34.5045317
"St. Charles, IL",-88.3086867,41.9141945
"San Luis Obispo, CA",-120.6596156,35.2827524
"Napa, CA",-122.286865,38.2975381
"Springfield, GA",-81.30418,32.3642241
"Clarkesville, GA",-83.5248933,34.6125971
"Palm Springs, CA",-116.5452921,33.8302961
"Cassville, WI",-90.9906836,42.7144374
"Hamtramck, MI",-83.0496438,42.3928151
"Port Orange, FL",-80.9956105,29.1383165
"Watkinsville, GA",-83.4087708,33.8628959
"Roswell, GA",-84.3615555,34.0232431
"Taos, NM",-105.5730665,36.4072485
"Louisville, CO",-105.1319296,39.977763
"Stoughton, WI",-89.2178937,42.9169462
"Camargo, OK",-99.2892719,36.0172666
"Easley, SC",-82.6015206,34.829838
"McDonough, GA",-84.1468616,33.4473361
"Brunswick, GA",-81.4914894,31.1499528
"Orlando, FL",-81.3792365,28.5383355
"Lino Lakes, MN",-93.0888324,45.1602442
"Batesville, AR",-91.6409721,35.769799
"McCaysville, GA",-84.3713117,34.9861914
"Dawsonville, GA",-84.1190804,34.4212052
"Coral Gables, FL",-80.2683838,25.72149
"Southampton, PA",-75.0435916,40.179209
"Farmington Hills, MI",-83.3677168,42.4989936
"Burlington, WI",-88.2762026,42.6780726
"Bala Cynwyd, PA",-75.2304038,40.0131418
"Carrabelle, FL",-84.664348,29.8532645
"Vidalia, GA",-82.4134614,32.2176855
"Tifton, GA",-83.5084973,31.4504629
"Westminster, CA",-117.9897058,33.7591757
"Tacoma, WA",-122.4442906,47.2528768
"Woodland Hills, CA",-118.6089752,34.165357
"Randallstown, MD",-76.7952525,39.3673278
"Overland Park, KS",-94.6707917,38.9822282
"Maywood, IL",-87.8431155,41.8791979
"Barnesville, GA",-84.1557495,33.0545709
"Gordon, GA",-83.3323848,32.8820866
"Jefferson City, MO",-92.1735164,38.5767017
"Chesterfield, MO",-90.5770675,38.6631083
"Shoreline, WA",-122.3456972,47.7559659
"Crawfordville, FL",-84.3711207,30.1944839
"Arlington, WA",-122.1251418,48.1987118
"Ponte Vedra Beach, FL",-81.3852595,30.2400058
"West Allis, WI",-88.0070315,43.0166806
"Milford, OH",-84.2943821,39.1753377
"Winder, GA",-83.7201709,33.9926097
"Ellijay, GA",-84.4821498,34.6948076
"Cherry Hill, NJ",-75.0246312,39.926813
"Bradenton, FL",-82.5748194,27.4989278
"Sonoma, CA",-122.4580356,38.291859
"Solvang, CA",-120.1376481,34.5958201
"Chico, CA",-121.8374777,39.7284944
"Stockton, CA",-121.2907796,37.9577016
"Martinsville, VA",-79.8725386,36.6915262
"Ocala, FL",-82.1400923,29.1871986
"Bartow, FL",-81.8431374,27.8964147
"Palos Heights, IL",-87.7964416,41.6680885
"Eugene, OR",-123.0867536,44.0520691
"Panama City Beach, FL",-85.8054879,30.1765914
"Port Saint Joe, FL",-85.302974,29.8118757
"Acworth, GA",-84.6768796,34.0659329
"Cave Junction, OR",-123.6481235,42.1628912
"New Prague, MN",-93.5760652,44.5432966
"Sylvan Grove, KS",-98.394228,39.0094538
"Kingstree, SC",-79.8306264,33.6676643
"Lantana, FL",-80.0519859,26.5867358
"Hastings, MI",-85.2908403,42.6458682
"Clewiston, FL",-80.9336753,26.7542312
"Aventura, FL",-80.1392121,25.9564812
"Miami, FL",-80.1917902,25.7616798
"Spartanburg, SC",-81.9320482,34.9495672
"Bluffton, SC",-80.8603868,32.2371465
"Blackwell, OK",-97.2828207,36.8044767
"Port Chester, NY",-73.6656834,41.0017643
"Baltimore, MD",-76.6121893,39.2903848
"Albuquerque, NM",-106.650422,35.0843859
"Savannah, GA",-81.091203,32.0808989
"Englewood, FL",-82.3525952,26.9620053
"Reno, NV",-119.8138027,39.5296329
"Seattle, WA",-122.3320708,47.6062095
"Lincoln, NE",-96.7025955,40.813616
"Arcola, IL",-88.3064367,39.684755
"Rosedale, MS",-91.0278863,33.8534421
"Granite Bay, CA",-121.1638361,38.7632345
"Saint Paul, MN",-93.0899578,44.9537029
"Elmwood Park, IL",-87.8092266,41.9211423
"Springfield, MO",-93.2922989,37.2089572
"Plymouth, MI",-83.4702132,42.3714253
"Saint Marys, GA",-81.5706109,30.7478954
"San Diego, CA",-117.1610838,32.715738
"Mesa, AZ",-111.8314724,33.4151843
"Champlin, MN",-93.3974537,45.1888539
"Bonifay, FL",-85.6796533,30.7918559
"Everett, WA",-122.2020795,47.9789848
"Butler, MO",-94.3305059,38.2586347
"Creve Coeur, MO",-90.422618,38.6608855
"Port Huron, MI",-82.4249142,42.9708634
"Mayaguez, PR",-67.1451549,18.2013452
"Hato Rey, PR",-66.0509549,18.4225782
"Naperville, IL",-88.1535352,41.7508391
"Peotone, IL",-87.7853217,41.3322554
"Rockford, IL",-89.0939952,42.2711311
"Lynnwood, WA",-122.3151314,47.8209301
"San Rafael, CA",-122.5310874,37.9735346
"Oakland, CA",-122.2711137,37.8043637
"Lowell, MA",-71.3161718,42.6334247
"Fort Pierce, FL",-80.3256056,27.4467056
"Clermont, FL",-81.7728543,28.5494447
"Sterling Heights, MI",-83.0302033,42.5803122
"Myrtle Beach, SC",-78.8866943,33.6890603
"Key West, FL",-81.7799871,24.5550593
"Carrollton, GA",-85.0766113,33.5801103
"Aurora, MN",-92.2371208,47.5299252
"Fort Deposit, AL",-86.5785856,31.9845929
"Hiawassee, GA",-83.7573948,34.9492586
"Draper, UT",-111.8638226,40.5246711
"Duluth, GA",-84.1446376,34.0028786
"Parma, OH",-81.7229086,41.4047742
"Covington, LA",-90.1009108,30.4754702
"New York, NY",-74.0059728,40.7127753
"Ogden, UT",-111.9738304,41.223
"Germantown, MD",-77.2716502,39.1731621
"Normal, IL",-88.9906312,40.5142026
"Boca Raton, FL",-80.1289321,26.3683064
"Carson City, NV",-119.7674034,39.1637984
"La Jolla, CA",-117.2712717,32.8328112
"Orland Park, IL",-87.8539425,41.6303103
"La Coste, TX",-98.8114707,29.309388
"Marco Island, FL",-81.7075355,25.9397412
"Hancock, MN",-95.7966667,45.4966667
"Bainbridge Island, WA",-122.5210007,47.6248791
"Los Angeles, CA",-118.2436849,34.0522342
"Cornelia, GA",-83.5271166,34.5114883
"Hallock, MN",-96.946447,48.7744263
"Immokalee, FL",-81.4174057,26.4185248
"The Dalles, OR",-121.1786823,45.5945645
"Santa Fe, NM",-105.937799,35.6869752
"Leeton, MO",-93.694658,38.5830717
"Kaysville, UT",-111.9385521,41.0352216
"St. Stephen, MN",-94.2744404,45.702743
"Antioch, IL",-88.0956396,42.4772418
"Bellingham, WA",-122.4786854,48.7519112
"Santa Monica, CA",-118.4911912,34.0194543
"Springfield, IL",-89.6501481,39.7817213
"Irondale, AL",-86.7072102,33.5381601
"New Baltimore, MI",-82.7368616,42.6811436
"Panama City, FL",-85.6602058,30.1588129
"Reston, VA",-77.3570028,38.9586307
"Aurora, IL",-88.3200715,41.7605849
"Cleveland, OH",-81.6943605,41.49932
"Reidsville, GA",-82.1178978,32.0868611
"Norcross, GA",-84.2135309,33.9412127
"San Clemente, CA",-117.6126004,33.4273521
"San Francisco, CA",-122.4194155,37.7749295
"Oakdale, MN",-92.9649361,44.9630216
"Detroit, MI",-83.0457538,42.331427
"Sparta, GA",-82.9762589,33.2757006
"Houston, TX",-95.3698028,29.7604267
"Madisonville, TX",-95.9116188,30.9499111
"Teague, TX",-96.283862,31.6271145
"Lemont, IL",-88.0017261,41.673642
"Westmont, IL",-87.9756175,41.7958639
"Otsego, MN",-93.5913501,45.2741314
"Racine, WI",-87.7828523,42.7261309
"Lawrenceville, GA",-83.9879625,33.9562149
"Bakersfield, CA",-119.0187125,35.3732921
"Pueblo, CO",-104.6091409,38.2544472
"Spring Grove, MN",-91.6359787,43.5610799
"Warren, MI",-83.0146526,42.5144566
"Louisville, KY",-85.7584557,38.2526647
"Columbus, IN",-85.9213796,39.2014404
"Lacey, WA",-122.8231915,47.0342629
"Woodbury, MN",-92.9593797,44.9238552
"Flagstaff, AZ",-111.651302,35.1982836
"Rolling Meadows, IL",-88.0131275,42.0841936
"Sioux City, IA",-96.4049408,42.4963416
"Oak Forest, IL",-87.7439384,41.6028116
"Kansas City, MO",-94.5785667,39.0997265
"Ventura, CA",-119.2945199,34.2804923
"Austin, TX",-97.7430608,30.267153
"Newnan, GA",-84.7996573,33.3806716
"Gilbert, AZ",-111.789027,33.3528264
"Montgomery, AL",-86.2999689,32.3668052
"Pittsburgh, PA",-79.9958864,40.4406248
"Prineville, OR",-120.8344664,44.2998485
"Venice, FL",-82.4542632,27.0997775
"Harvey, IL",-87.6467131,41.6100344
"Elizabeth, NJ",-74.2107006,40.6639916
"West Chester, OH",-84.4172666,39.3321262
"Jupiter, FL",-80.0942087,26.9342246
"Altus, OK",-99.3340442,34.637765
"Perry, GA",-83.7315723,32.4582065
"Alpharetta, GA",-84.2940899,34.0753762
"Suwanee, GA",-84.0712997,34.0514898
"Williamsville, NY",-78.7378091,42.963947
"Temecula, CA",-117.1483648,33.4936391
"Rancho Cucamonga, CA",-117.5931084,34.1063989
"Sioux Falls, SD",-96.7311034,43.5445959
"Thermopolis, WY",-108.2120432,43.6460672
"Worth, IL",-87.7972754,41.6897548
"Dallas, TX",-96.7969879,32.7766642
"Danville, IL",-87.6300207,40.124481
"Elizabeth, IL",-90.221517,42.3177911
"Oregon, IL",-89.3323279,42.0147513
"Winchester, IL",-90.4562355,39.6297689
"Clinton, IL",-88.9645253,40.1536479
"Irvine, CA",-117.8265049,33.6845673
"Pine City, MN",-92.9703435,45.8229105
"Villa Rica, GA",-84.9191081,33.732052
"Anthony, KS",-98.0311727,37.1533554
"Wilmington, NC",-77.9447102,34.2257255
"Fayetteville, GA",-84.4549262,33.4487257
"Lincolnwood, IL",-87.7300594,42.0044757
"Macomb, IL",-90.6717971,40.4592076
"Champaign, IL",-88.2433829,40.1164204
"Bremerton, WA",-122.6269768,47.5650067
"Layton, UT",-111.9710529,41.0602216
"Ridgewood, NJ",-74.1165313,40.9792645
"Ketchum, ID",-114.3636619,43.6807402
"Calabasas, CA",-118.6614809,34.1367208
"Kennesaw, GA",-84.6154897,34.0234337
"Elko, NV",-115.7631232,40.8324211
"Sugar Creek, MO",-94.4446742,39.1097268
"Paola, KS",-94.8791294,38.5722353
"Colorado Springs, CO",-104.8213634,38.8338816
"Commerce, GA",-83.4571057,34.203997
"Henderson, NV",-114.9817213,36.0395247
"Glenwood, IL",-87.6022658,41.5425349
"Silverton, OR",-122.7831455,45.0051213
"Beaverton, OR",-122.8013332,45.4887993
"Pittsfield, IL",-90.8051289,39.6078254
"Cape Coral, FL",-81.9495331,26.5628537
"Loup City, NE",-98.9667532,41.275565
"Merced, CA",-120.4829677,37.3021632
"Culver City, CA",-118.3964665,34.0211224
"Crofton, MD",-76.6874671,39.0017772
"Salt Lake City, UT",-111.8910474,40.7607793
"Redlands, CA",-117.1825381,34.0555693
"Vancouver, WA",-122.55783,45.6355146
"Berkeley, IL",-87.9033956,41.8889194
"Sanderson, TX",-102.3940324,30.1424083
"Pomona, CA",-117.7499909,34.055103
"Newport Beach, CA",-117.9298493,33.6188829
"Loganville, GA",-83.9007382,33.8389977
"Eldred, IL",-90.5523438,39.2875475
"Northville, MI",-83.4832692,42.4311464
"Northfork, WV",-81.4401034,37.420948
"Topeka, KS",-95.6751576,39.0473451
"Pasadena, CA",-118.1445155,34.1477849
"Staples, MN",-94.794844,46.3557159
"Bentonville, AR",-94.2088172,36.3728538
"Hume, MO",-94.5838444,38.0900314
"Lakeview, OH",-83.9229952,40.4847717
"Ephraim, UT",-111.5863052,39.3596841
"White Plains, NY",-73.7629097,41.0339862
"Tallahassee, FL",-84.2807329,30.4382559
"Newark, NJ",-74.1723667,40.735657
"Philadelphia, PA",-75.1652215,39.9525839
"Blanchardville, WI",-89.8620682,42.8102794
"Torrance, CA",-118.3406288,33.8358492
"Cheneyville, LA",-92.2873521,31.0149128
"Alamo, TN",-89.1172883,35.7847949
"Stamford, CT",-73.5387341,41.0534302
"Shelby Township, MI",-83.0329934,42.670782
"Oakwood, OH",-84.1741059,39.7253369
"Sierra Blanca, TX",-105.3571764,31.1745732
"Gravette, AR",-94.4535484,36.4220207
"Hinsdale, IL",-87.9370052,41.8008642
"Malta, OH",-81.8620804,39.6492377
"Manchester, NH",-71.4547891,42.9956397
"Metropolis, IL",-88.7319979,37.1511655
"Honolulu, HI",-157.8583333,21.3069444
